内容编号	中文内容
1.1.1.1 	交易
1.1.1.2 	收益
1.1.1.3 	经纪商
1.1.1.4 	数据
1.1.1.5 	点击登录
1.1.1.6 	点击连接钱包
1.1.1.7 	连接钱包
1.1.1.8	首页
1.1.1.9	钱包地址
1.2.1.1 	连接钱包
1.2.1.2 	选择主网
1.2.1.3 	选择钱包
1.2.1.4 	未检测到钱包，请先安装Metamask钱包
1.2.1.5 	您选择的主网与钱包的主网不一致，请将钱包主网切换至以太坊（{0}）后重新登录
1.3.1.1	钱包地址
1.3.1.2	保证金账户
1.3.1.3	账户余额
1.3.1.4	资金明细
1.3.1.5	保证金余额
1.3.1.6	持仓保证金
1.3.1.7	充值
1.3.1.8	提现
1.3.1.9	断开连接
1.3.2.1	资金划转
1.3.2.2	从
1.3.2.3	到
1.3.2.4	我的钱包
1.3.2.5	保证金账户
1.3.2.6	数量
1.3.2.7	数值有误，请重新输入
1.3.2.8	可划转
1.3.2.9	全部划转
1.3.2.10	充值
1.3.2.11	提现
1.3.2.12	正在执行，请稍候
1.3.2.13	执行成功
1.3.2.14	执行失败，请重试
1.3.3.1	资金明细
1.3.3.2	类型
1.3.3.3	金额
1.3.3.4	余额
1.3.3.5	时间
1.3.3.6	Gas费
1.3.3.7	手续费
1.3.3.8	盈利
1.3.3.9	亏损
1.3.3.10	已实现盈亏
1.3.3.11	动仓费
1.3.3.12	清算费用
1.3.3.13	系统补偿
1.3.3.14	系统亏损分摊
1.3.3.15	提现
1.3.3.16	充值
1.3.3.17	没有更多了
1.4.1.1	绑定经纪商
1.4.1.2	经纪商编码
1.4.1.3	没有经纪商编码...
1.4.1.4	您输入的编码不存在，请重新输入
1.4.1.5	提交
1.4.2.1	选择经纪商
1.4.2.2	有经纪商编码
1.4.2.3	没有更多了
1.4.2.4	提交
1.5.1.1	市场
1.5.2.1	动仓费率
1.5.2.2	持仓挖矿收益率
1.5.2.3	多
1.5.2.4	空
1.5.3.1	动仓费率
